bdr,adr,bars,trades,winrate,expectancy_per_trade,median_hold_bars,sharpe_hourly_annualized,mdd,pnl_total,costs_total,corr_log,median_ratio_diag
TSLA34,TSLA,8676,229,0.956332,0.761811,2,4.740049,-3.683568,163.765303,29.580883,0.999924,0.031249
BABA34,BABA,8194,202,0.940594,0.335894,2,4.440204,-1.165276,61.775975,17.132072,0.999936,0.035723
TSMC34,TSM,7540,157,0.923567,1.092086,2,4.143151,-3.357827,155.853268,43.941792,0.999001,0.121405
NVDC34,NVDA,8254,170,0.958824,0.113544,2,3.626907,-0.449906,17.968400,3.623447,0.999974,0.020822
JDCO34,JD,5526,114,0.973684,0.619208,2,3.602383,-2.996242,64.266090,18.536957,0.999879,0.166705
AAPL34,AAPL,12961,250,0.936000,0.391737,2,3.540638,-1.195688,86.785321,32.646194,0.999960,0.049251
AVGO34,AVGO,5914,92,0.945652,0.160691,2,3.468548,-0.340288,13.857634,2.382549,0.999762,0.014030
AMZO34,AMZN,9708,179,0.927374,0.468718,2,3.329759,-3.733953,74.864140,24.328600,0.999969,0.050006
M1TA34,META,9707,172,0.953488,0.968309,2,3.158865,-2.407334,152.904140,36.109025,0.999942,0.035613
GOGL34,GOOGL,10794,174,0.896552,0.564477,2,3.146978,-3.057096,87.149714,29.681988,0.999901,0.082950
MSFT34,MSFT,11007,180,0.911111,0.631149,2,2.836505,-3.762665,99.412112,47.590962,0.999959,0.040879
