bdr,adr,overlap_obs,ratio_used,ratio_sd,ratio_obs,ratio_method,mae_teorico,mape_teorico,score
NVDC34,NVDA,8254,0.02082859,0.00014180,8254,ols,0.02507122,0.00478854,3.03773913
BABA34,BABA,8194,0.03574362,0.00018395,8194,ols,0.09443466,0.00369727,1.48781090
AMZO34,AMZN,9708,0.05000385,0.00028109,9708,ols,0.12876366,0.00363360,0.94403568
TSLA34,TSLA,8676,0.03124218,0.00024284,8676,ols,0.19906320,0.00541613,0.53962979
M1TA34,META,9707,0.03564313,0.00023804,9707,ols,0.23007975,0.00415587,0.52695698
AVGO34,AVGO,5914,0.01418747,0.00033736,5914,ols,0.10591757,0.02240707,0.46540292
AAPL34,AAPL,12961,0.04960719,0.00113874,12961,ols,0.23655501,0.01853826,-0.74445652
GOGL34,GOOGL,10794,0.08271279,0.00091758,10794,ols,0.29157884,0.00816062,-0.92189418
JDCO34,JD,5526,0.16677676,0.00118386,5526,ols,0.18647650,0.00383072,-1.39861494
MSFT34,MSFT,11007,0.04124263,0.00113897,11007,ols,0.54471346,0.02081511,-1.73975431
TSMC34,TSM,7540,0.12250810,0.00248073,7540,ols,1.50424131,0.01922129,-3.90634607
