q_alpha,q_beta,r,mae_kf,sd_beta_mean,resid_std_mean,obj
0.00000100,0.00000100,0.00001000,0.03719711,0.01253711,0.00587762,0.05090975
0.00000100,0.00000100,0.00010000,0.07158112,0.01552613,0.00544734,0.08819672
0.00000100,0.00000100,0.00100000,0.08848043,0.01915750,0.00529928,0.10869779
0.00000100,0.00001000,0.00001000,0.00921780,0.01718036,0.00649136,0.02769643
0.00000100,0.00001000,0.00010000,0.03929800,0.01945712,0.00591730,0.05993858
0.00000100,0.00001000,0.00100000,0.07362737,0.02288945,0.00550115,0.09761704
0.00000100,0.00010000,0.00001000,0.00123334,0.02200722,0.00694303,0.02462917
0.00000100,0.00010000,0.00010000,0.00963265,0.02302530,0.00665323,0.03398860
0.00000100,0.00010000,0.00100000,0.04061439,0.02611758,0.00602869,0.06793771
0.00001000,0.00000100,0.00001000,0.02831796,0.02187591,0.00609535,0.05141294
0.00001000,0.00000100,0.00010000,0.06502802,0.02743439,0.00553091,0.09356860
0.00001000,0.00000100,0.00100000,0.08557835,0.03516824,0.00530088,0.12180676
0.00001000,0.00001000,0.00001000,0.00834481,0.03421460,0.00647111,0.04385363
0.00001000,0.00001000,0.00010000,0.03719712,0.03947955,0.00587761,0.07785219
0.00001000,0.00001000,0.00100000,0.07158120,0.04892882,0.00544724,0.12159946
0.00001000,0.00010000,0.00001000,0.00117153,0.05188211,0.00677475,0.05440858
0.00001000,0.00010000,0.00010000,0.00921780,0.05416275,0.00649135,0.06467883
0.00001000,0.00010000,0.00100000,0.03929806,0.06135930,0.00591719,0.10184080
