q_alpha,q_beta,r,mae_kf,sd_beta_mean,resid_std_mean,obj
0.00000100,0.00000100,0.00001000,0.04692871,0.01101836,0.00587141,0.05912135
0.00000100,0.00000100,0.00010000,0.09271876,0.01351694,0.00539811,0.10731532
0.00000100,0.00000100,0.00100000,0.11567174,0.01650458,0.00520818,0.13321796
0.00000100,0.00001000,0.00001000,0.01075089,0.01486699,0.00649310,0.02691650
0.00000100,0.00001000,0.00010000,0.04955602,0.01639627,0.00593900,0.06714010
0.00000100,0.00001000,0.00100000,0.09506329,0.01885587,0.00543961,0.11500708
0.00000100,0.00010000,0.00001000,0.00135837,0.01792008,0.00690141,0.02065873
0.00000100,0.00010000,0.00010000,0.01122314,0.01852903,0.00668110,0.03108839
0.00000100,0.00010000,0.00100000,0.05085518,0.02072883,0.00604213,0.07279244
0.00001000,0.00000100,0.00001000,0.03602536,0.01982115,0.00600950,0.05704841
0.00001000,0.00000100,0.00010000,0.08425653,0.02467173,0.00545886,0.11002003
0.00001000,0.00000100,0.00100000,0.11203866,0.03161468,0.00521775,0.14469689
0.00001000,0.00001000,0.00001000,0.00985586,0.03053452,0.00641021,0.04167242
0.00001000,0.00001000,0.00010000,0.04692889,0.03461356,0.00586287,0.08271503
0.00001000,0.00001000,0.00100000,0.09271884,0.04240193,0.00538903,0.13619858
0.00001000,0.00010000,0.00001000,0.00128736,0.04546020,0.00668481,0.04808452
0.00001000,0.00010000,0.00010000,0.01075107,0.04678352,0.00648448,0.05883149
0.00001000,0.00010000,0.00100000,0.04955610,0.05150710,0.00592995,0.10224919
