q_alpha,q_beta,r,mae_kf,sd_beta_mean,resid_std_mean,obj
0.00000100,0.00000100,0.00001000,0.01837379,0.01235153,0.00738813,0.03220295
0.00000100,0.00000100,0.00010000,0.02882362,0.01587012,0.00695921,0.04608559
0.00000100,0.00000100,0.00100000,0.03327884,0.02156128,0.00684788,0.05620970
0.00000100,0.00001000,0.00001000,0.00646786,0.01705671,0.00809247,0.02514306
0.00000100,0.00001000,0.00010000,0.01951960,0.02060003,0.00735466,0.04159056
0.00000100,0.00001000,0.00100000,0.02956778,0.02648308,0.00698946,0.05744876
0.00000100,0.00010000,0.00001000,0.00104454,0.02297815,0.00871017,0.02576472
0.00000100,0.00010000,0.00010000,0.00671476,0.02532199,0.00820399,0.03367754
0.00000100,0.00010000,0.00100000,0.01996965,0.03181929,0.00743903,0.05327675
0.00001000,0.00000100,0.00001000,0.01277672,0.01998818,0.00776878,0.03431865
0.00001000,0.00000100,0.00010000,0.02568628,0.02560519,0.00710523,0.05271251
0.00001000,0.00000100,0.00100000,0.03193946,0.03477820,0.00685570,0.06808880
0.00001000,0.00001000,0.00001000,0.00555920,0.03190000,0.00816975,0.03909315
0.00001000,0.00001000,0.00010000,0.01837386,0.03871415,0.00738800,0.05856561
0.00001000,0.00001000,0.00100000,0.02882405,0.04971432,0.00695851,0.07993007
0.00001000,0.00010000,0.00001000,0.00099072,0.04921791,0.00859994,0.05192862
0.00001000,0.00010000,0.00010000,0.00646793,0.05359158,0.00809231,0.06167797
0.00001000,0.00010000,0.00100000,0.01951997,0.06466570,0.00735393,0.08565646
