q_alpha,q_beta,r,mae_kf,sd_beta_mean,resid_std_mean,obj
0.00000100,0.00000100,0.00001000,0.03774685,0.01319497,0.00559681,0.05206119
0.00000100,0.00000100,0.00010000,0.06976802,0.01863707,0.00511369,0.08942783
0.00000100,0.00000100,0.00100000,0.08452026,0.02858398,0.00492907,0.11409005
0.00000100,0.00001000,0.00001000,0.00924444,0.02321643,0.00615769,0.03369240
0.00000100,0.00001000,0.00010000,0.03907527,0.02951186,0.00557080,0.06970129
0.00000100,0.00001000,0.00100000,0.07057538,0.04542753,0.00510183,0.11702328
0.00000100,0.00010000,0.00001000,0.00112329,0.05501617,0.00635273,0.05741000
0.00000100,0.00010000,0.00010000,0.00932742,0.05856978,0.00615723,0.06912865
0.00000100,0.00010000,0.00100000,0.03928821,0.07654287,0.00557027,0.11694514
0.00001000,0.00000100,0.00001000,0.02866470,0.02050889,0.00577317,0.05032822
0.00001000,0.00000100,0.00010000,0.06358800,0.02703324,0.00520519,0.09166228
0.00001000,0.00000100,0.00100000,0.08214317,0.03829630,0.00495904,0.12143129
0.00001000,0.00001000,0.00001000,0.00861578,0.03384818,0.00617556,0.04369907
0.00001000,0.00001000,0.00010000,0.03776262,0.04066471,0.00559607,0.07954654
0.00001000,0.00001000,0.00100000,0.06980002,0.05658344,0.00511334,0.12740612
0.00001000,0.00010000,0.00001000,0.00111321,0.06584529,0.00635381,0.06822926
0.00001000,0.00010000,0.00010000,0.00925906,0.06919995,0.00615948,0.07969091
0.00001000,0.00010000,0.00100000,0.03915036,0.08600265,0.00557297,0.12626760
