q_alpha,q_beta,r,mae_kf,sd_beta_mean,resid_std_mean,obj
0.00000100,0.00000100,0.00001000,0.05539862,0.01379645,0.00552672,0.07030041
0.00000100,0.00000100,0.00010000,0.11458801,0.01874859,0.00508913,0.13435443
0.00000100,0.00000100,0.00100000,0.14716174,0.02792597,0.00497090,0.17608189
0.00000100,0.00001000,0.00001000,0.01183696,0.02237811,0.00603465,0.03542200
0.00000100,0.00001000,0.00010000,0.05750473,0.02828020,0.00553411,0.08689175
0.00000100,0.00001000,0.00100000,0.11607977,0.04259402,0.00509059,0.15969191
0.00000100,0.00010000,0.00001000,0.00137896,0.04949246,0.00620903,0.05211322
0.00000100,0.00010000,0.00010000,0.01198757,0.05354404,0.00605984,0.06674359
0.00000100,0.00010000,0.00100000,0.05791783,0.07168511,0.00554739,0.13071242
0.00001000,0.00000100,0.00001000,0.04335292,0.02331233,0.00564290,0.06779383
0.00001000,0.00000100,0.00010000,0.10473800,0.03024275,0.00514424,0.13600960
0.00001000,0.00000100,0.00100000,0.14242554,0.04205974,0.00496900,0.18547908
0.00001000,0.00001000,0.00001000,0.01107185,0.03665342,0.00600576,0.04892643
0.00001000,0.00001000,0.00010000,0.05540185,0.04290069,0.00552584,0.09940770
0.00001000,0.00001000,0.00100000,0.11459836,0.05732487,0.00508914,0.17294106
0.00001000,0.00010000,0.00001000,0.00136013,0.06460159,0.00618067,0.06719786
0.00001000,0.00010000,0.00010000,0.01184415,0.06797105,0.00603644,0.08102249
0.00001000,0.00010000,0.00100000,0.05756128,0.08385604,0.00553789,0.14252490
