q_alpha,q_beta,r,mae_kf,sd_beta_mean,resid_std_mean,obj
0.00000100,0.00000100,0.00001000,0.06910111,0.01011419,0.00709062,0.08063342
0.00000100,0.00000100,0.00010000,0.13874330,0.01409158,0.00636773,0.15410842
0.00000100,0.00000100,0.00100000,0.17081548,0.02099594,0.00607345,0.19302611
0.00000100,0.00001000,0.00001000,0.01449659,0.01855828,0.00779712,0.03461430
0.00000100,0.00001000,0.00010000,0.07106658,0.02343470,0.00706737,0.09591476
0.00000100,0.00001000,0.00100000,0.14004148,0.03609550,0.00635491,0.17740796
0.00000100,0.00010000,0.00001000,0.00166499,0.04802990,0.00798858,0.05129261
0.00000100,0.00010000,0.00010000,0.01458409,0.05071383,0.00779646,0.06685721
0.00000100,0.00010000,0.00100000,0.07132103,0.06534604,0.00706512,0.13808009
0.00001000,0.00000100,0.00001000,0.05463620,0.01642191,0.00727184,0.07251248
0.00001000,0.00000100,0.00010000,0.12812141,0.02121279,0.00647104,0.15062841
0.00001000,0.00000100,0.00100000,0.16696609,0.02925156,0.00610624,0.19743890
0.00001000,0.00001000,0.00001000,0.01376324,0.02692101,0.00780757,0.04224577
0.00001000,0.00001000,0.00010000,0.06910837,0.03174048,0.00709047,0.10226695
0.00001000,0.00001000,0.00100000,0.13876312,0.04388074,0.00636670,0.18391720
0.00001000,0.00010000,0.00001000,0.00165477,0.05462142,0.00798823,0.05787384
0.00001000,0.00010000,0.00010000,0.01450587,0.05713560,0.00779720,0.07320091
0.00001000,0.00010000,0.00100000,0.07111688,0.07090803,0.00706740,0.14343839
