q_alpha,q_beta,r,mae_kf,sd_beta_mean,resid_std_mean,obj
0.00000100,0.00000100,0.00001000,0.07452458,0.00999238,0.00678592,0.08587415
0.00000100,0.00000100,0.00010000,0.15801591,0.01248166,0.00622388,0.17174234
0.00000100,0.00000100,0.00100000,0.19989405,0.01652201,0.00597627,0.21761132
0.00000100,0.00001000,0.00001000,0.01533372,0.01407728,0.00742367,0.03089573
0.00000100,0.00001000,0.00010000,0.07777158,0.01648299,0.00683484,0.09562154
0.00000100,0.00001000,0.00100000,0.16085075,0.02281758,0.00624609,0.18491755
0.00000100,0.00010000,0.00001000,0.00178606,0.02355967,0.00772372,0.02689047
0.00000100,0.00010000,0.00010000,0.01570777,0.02549583,0.00754366,0.04271233
0.00000100,0.00010000,0.00100000,0.07886324,0.03457604,0.00689334,0.11481795
0.00001000,0.00000100,0.00001000,0.05881246,0.01839237,0.00690693,0.07858621
0.00001000,0.00000100,0.00010000,0.14490333,0.02272560,0.00628594,0.16888612
0.00001000,0.00000100,0.00100000,0.19449371,0.02949253,0.00599380,0.22518500
0.00001000,0.00001000,0.00001000,0.01433340,0.02807273,0.00735284,0.04387670
0.00001000,0.00001000,0.00010000,0.07452475,0.03148820,0.00678574,0.10737011
0.00001000,0.00001000,0.00100000,0.15801766,0.03934021,0.00622248,0.19860236
0.00001000,0.00010000,0.00001000,0.00173900,0.04288988,0.00758536,0.04614595
0.00001000,0.00010000,0.00010000,0.01533424,0.04438251,0.00742360,0.06120147
0.00001000,0.00010000,0.00100000,0.07777922,0.05188956,0.00683394,0.13103557
