q_alpha,q_beta,r,mae_kf,sd_beta_mean,resid_std_mean,obj
0.00000100,0.00000100,0.00001000,0.05643502,0.01196899,0.00553031,0.06951008
0.00000100,0.00000100,0.00010000,0.11984729,0.01470336,0.00509222,0.13556909
0.00000100,0.00000100,0.00100000,0.15296335,0.01860918,0.00491815,0.17255616
0.00000100,0.00001000,0.00001000,0.01196733,0.01577906,0.00611342,0.02896908
0.00000100,0.00001000,0.00010000,0.05969604,0.01765328,0.00561439,0.07847220
0.00000100,0.00001000,0.00100000,0.12306436,0.02196167,0.00513889,0.14605381
0.00000100,0.00010000,0.00001000,0.00143973,0.01978585,0.00642303,0.02251018
0.00000100,0.00010000,0.00010000,0.01235790,0.02159402,0.00622745,0.03519741
0.00000100,0.00010000,0.00100000,0.06078865,0.02799223,0.00566839,0.08991456
0.00001000,0.00000100,0.00001000,0.04428745,0.02191208,0.00563774,0.06732708
0.00001000,0.00000100,0.00010000,0.10930079,0.02740874,0.00512838,0.13773520
0.00001000,0.00000100,0.00100000,0.14756185,0.03594660,0.00490436,0.18448932
0.00001000,0.00001000,0.00001000,0.01096925,0.03343636,0.00600685,0.04560698
0.00001000,0.00001000,0.00010000,0.05643509,0.03768199,0.00553017,0.09522312
0.00001000,0.00001000,0.00100000,0.11984741,0.04627663,0.00509155,0.16714235
0.00001000,0.00010000,0.00001000,0.00138604,0.04818280,0.00628218,0.05082527
0.00001000,0.00010000,0.00010000,0.01196743,0.04972290,0.00611327,0.06291298
0.00001000,0.00010000,0.00100000,0.05969742,0.05557040,0.00561365,0.11639055
