q_alpha,q_beta,r,mae_kf,sd_beta_mean,resid_std_mean,obj
0.00000100,0.00000100,0.00001000,0.01379622,0.01253957,0.00706644,0.02774909
0.00000100,0.00000100,0.00010000,0.02062063,0.01634955,0.00670592,0.03831137
0.00000100,0.00000100,0.00100000,0.02342703,0.02133197,0.00657181,0.04607336
0.00000100,0.00001000,0.00001000,0.00616451,0.01853183,0.00754640,0.02620562
0.00000100,0.00001000,0.00010000,0.01490637,0.02354940,0.00697610,0.03985098
0.00000100,0.00001000,0.00100000,0.02114435,0.03072980,0.00667589,0.05320933
0.00000100,0.00010000,0.00001000,0.00166699,0.02599126,0.00813679,0.02928561
0.00000100,0.00010000,0.00010000,0.00648732,0.03145813,0.00757203,0.03945985
0.00000100,0.00010000,0.00100000,0.01516731,0.04153138,0.00699257,0.05809720
0.00001000,0.00000100,0.00001000,0.00928474,0.01897280,0.00751683,0.02976091
0.00001000,0.00000100,0.00010000,0.01819501,0.02442880,0.00688787,0.04400139
0.00001000,0.00000100,0.00100000,0.02252060,0.03250910,0.00663664,0.05635703
0.00001000,0.00001000,0.00001000,0.00480947,0.03166920,0.00776543,0.03803176
0.00001000,0.00001000,0.00010000,0.01379622,0.03947570,0.00706638,0.05468520
0.00001000,0.00001000,0.00100000,0.02062067,0.05151129,0.00670544,0.07347304
0.00001000,0.00010000,0.00001000,0.00142896,0.05009983,0.00814682,0.05315815
0.00001000,0.00010000,0.00010000,0.00616451,0.05842262,0.00754632,0.06609639
0.00001000,0.00010000,0.00100000,0.01490638,0.07426946,0.00697563,0.09057097
