q_alpha,q_beta,r,mae_kf,sd_beta_mean,resid_std_mean,obj
0.00000100,0.00000100,0.00001000,0.07380203,0.00935708,0.00850318,0.08485974
0.00000100,0.00000100,0.00010000,0.14566667,0.01168384,0.00782817,0.15891615
0.00000100,0.00000100,0.00100000,0.18096330,0.01480181,0.00751794,0.19726869
0.00000100,0.00001000,0.00001000,0.01666305,0.01307695,0.00932309,0.03160462
0.00000100,0.00001000,0.00010000,0.07731283,0.01466923,0.00855972,0.09369401
0.00000100,0.00001000,0.00100000,0.14858061,0.01771731,0.00783849,0.16786562
0.00000100,0.00010000,0.00001000,0.00204227,0.01669519,0.00978729,0.02069491
0.00000100,0.00010000,0.00010000,0.01720989,0.01743311,0.00951117,0.03654523
0.00000100,0.00010000,0.00100000,0.07888471,0.02047250,0.00864903,0.10108702
0.00001000,0.00000100,0.00001000,0.05711150,0.01635102,0.00870871,0.07520426
0.00001000,0.00000100,0.00010000,0.13287675,0.02045245,0.00792309,0.15491382
0.00001000,0.00000100,0.00100000,0.17573447,0.02656170,0.00754647,0.20380546
0.00001000,0.00001000,0.00001000,0.01540129,0.02558280,0.00925022,0.04283414
0.00001000,0.00001000,0.00010000,0.07380260,0.02914192,0.00849612,0.10464375
0.00001000,0.00001000,0.00100000,0.14566858,0.03638500,0.00779986,0.18361355
0.00001000,0.00010000,0.00001000,0.00196885,0.03968326,0.00957728,0.04356757
0.00001000,0.00010000,0.00010000,0.01666360,0.04090098,0.00931457,0.05942750
0.00001000,0.00010000,0.00100000,0.07731478,0.04582282,0.00853153,0.12484390
