q_alpha,q_beta,r,mae_kf,sd_beta_mean,resid_std_mean,obj
0.00000100,0.00000100,0.00001000,0.08519898,0.01227445,0.00558199,0.09858983
0.00000100,0.00000100,0.00010000,0.18814971,0.01746741,0.00507183,0.20663148
0.00000100,0.00000100,0.00100000,0.24348320,0.02741556,0.00488067,0.27187490
0.00000100,0.00001000,0.00001000,0.01620023,0.02274002,0.00604927,0.04015011
0.00000100,0.00001000,0.00010000,0.08754912,0.02864726,0.00557664,0.11731171
0.00000100,0.00001000,0.00100000,0.18995339,0.04567338,0.00506659,0.23664009
0.00000100,0.00010000,0.00001000,0.00180968,0.05912171,0.00616601,0.06216460
0.00000100,0.00010000,0.00010000,0.01631124,0.06206527,0.00605587,0.07958768
0.00000100,0.00010000,0.00100000,0.08797226,0.07898982,0.00558098,0.16807827
0.00001000,0.00000100,0.00001000,0.06890208,0.02037415,0.00566951,0.09041013
0.00001000,0.00000100,0.00010000,0.17417640,0.02638535,0.00512410,0.20158657
0.00001000,0.00000100,0.00100000,0.23739665,0.03744855,0.00488967,0.27582313
0.00001000,0.00001000,0.00001000,0.01547294,0.03317333,0.00603859,0.04985399
0.00001000,0.00001000,0.00010000,0.08520917,0.03853399,0.00558072,0.12485930
0.00001000,0.00001000,0.00100000,0.18818158,0.05410578,0.00506998,0.24330135
0.00001000,0.00010000,0.00001000,0.00179841,0.06657344,0.00616056,0.06960396
0.00001000,0.00010000,0.00010000,0.01621948,0.06924987,0.00605159,0.08667966
0.00001000,0.00010000,0.00100000,0.08768897,0.08500047,0.00557985,0.17380541
