bdr,adr,overlap_obs,ratio_used,ratio_sd,ratio_sd_log,ratio_mad_log,ratio_obs,ratio_method,mae_teorico,mape_teorico,mae_kf,resid_std_ewma_mean,sd_beta_mean,q_alpha,q_beta,r,tune_obj,score_baseline,score_kalman,score_kalman_norm
AMZO34,AMZN,9708,0.05000385,0.00028109,0.00564957,0.00388464,9708,ols,0.12876366,0.00363360,0.00135837,0.00690141,0.01792008,0.00000100,0.00010000,0.00001000,0.02065873,0.94403568,4.75308689,7.10059177
M1TA34,META,9707,0.03564313,0.00023804,0.00664298,0.00436984,9707,ols,0.23007975,0.00415587,0.00178606,0.00772372,0.02355967,0.00000100,0.00010000,0.00001000,0.02689047,0.52695698,4.56049890,6.77672906
TSLA34,TSLA,8676,0.03124218,0.00024284,0.00777672,0.00579651,8676,ols,0.19906320,0.00541613,0.00204227,0.00978729,0.01669519,0.00000100,0.00010000,0.00001000,0.02069491,0.53962979,4.19097389,6.59782205
AAPL34,AAPL,12961,0.04960719,0.00113874,0.02370182,0.01418475,12961,ols,0.23655501,0.01853826,0.00123334,0.00694303,0.02200722,0.00000100,0.00010000,0.00001000,0.02462917,-0.74445652,3.87839401,6.44831358
NVDC34,NVDA,8254,0.02082859,0.00014180,0.00679516,0.00526377,8254,ols,0.02507122,0.00478854,0.00616451,0.00754640,0.01853183,0.00000100,0.00001000,0.00001000,0.02620562,3.03773913,3.85095718,6.30084208
MSFT34,MSFT,11007,0.04124263,0.00113897,0.02882247,0.01598185,11007,ols,0.54471346,0.02081511,0.00143973,0.00642303,0.01978585,0.00000100,0.00010000,0.00001000,0.02251018,-1.73975431,3.71249913,6.19946038
BABA34,BABA,8194,0.03574362,0.00018395,0.00514088,0.00394735,8194,ols,0.09443466,0.00369727,0.00924444,0.00615769,0.02321643,0.00000100,0.00001000,0.00001000,0.03369240,1.48781090,3.46394947,6.17646790
GOGL34,GOOGL,10794,0.08271279,0.00091758,0.01102223,0.00771684,10794,ols,0.29157884,0.00816062,0.01183696,0.00603465,0.02237811,0.00000100,0.00001000,0.00001000,0.03542200,-0.92189418,2.26169970,5.95043443
JDCO34,JD,5526,0.16677676,0.00118386,0.00685683,0.00386335,5526,ols,0.18647650,0.00383072,0.01449659,0.00779712,0.01855828,0.00000100,0.00001000,0.00001000,0.03461430,-1.39861494,0.97966543,5.36130206
AVGO34,AVGO,5914,0.01418747,0.00033736,0.02485217,0.02098623,5914,ols,0.10591757,0.02240707,0.00646786,0.00809247,0.01705671,0.00000100,0.00001000,0.00001000,0.02514306,0.46540292,2.83411005,5.13936635
TSMC34,TSM,7540,0.12250810,0.00248073,0.02048780,0.02717974,7540,ols,1.50424131,0.01922129,0.01620023,0.00604927,0.02274002,0.00000100,0.00001000,0.00001000,0.04015011,-3.90634607,0.67470611,4.95719549
